Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Julia,Beginner,What is the syntax for a basic Julia program?,console.log('Hello World'),echo 'Hello World',print('Hello World'),System.out.println('Hello World'),C
Lua,Intermediate,What are common data structures in Lua?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples",None of the above,"Loops, arrays, classes",B
JavaScript,Intermediate,Explain functions in JavaScript.,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,A
Ruby,Beginner,How do you define a function in Ruby?,function function_name(){},def function_name():,function_name() = {},function_name(){},B
SQL,Advanced,What is garbage collection in SQL?,A manual process for freeing memory,Automatic memory management system,None of the above,A method for checking memory leaks,B
React,Advanced,What is garbage collection in React?,None of the above,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,D
Bash,Intermediate,What are common data structures in Bash?,"Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
C++,Intermediate,What are common data structures in C++?,"Functions, arrays, objects","Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples",D
Scala,Beginner,How do you import modules in Scala?,require module_name,import module_name,using module_name,include module_name,B
Objective-C,Advanced,Explain multithreading or asynchronous operations in Objective-C.,None of the above,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,C
F#,Beginner,What is the difference between a string and an integer in F#?,A string is a sequence of characters,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",B
Go,Beginner,What are variables in Go?,Used for user input,Used to store data,Used for program flow,Used for function definitions,B
Rust,Beginner,What is the difference between a string and an integer in Rust?,A string is a sequence of characters,"An integer is a whole number, a string is text","A string is a number, and an integer is text",There is no difference,B
R,Beginner,What is an array in R?,A collection of functions,A collection of elements of the same type,A list of random values,A set of variables,B
Lua,Advanced,What are advanced use cases for Lua?,File system management,None of the above,Basic website scripting,"High-performance computing, data analysis, AI",D
PHP,Intermediate,What are common data structures in PHP?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects","Loops, arrays, classes",None of the above,A
Haskell,Advanced,How does memory management work in Haskell?,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,C
Dart,Intermediate,How do you handle errors in Dart?,None of the above,Try-except blocks,Error-handling functions,If-else statements,B
MATLAB,Beginner,How do you define a function in MATLAB?,function_name(){},function_name() = {},function function_name(){},def function_name():,D
COBOL,Beginner,What is a list in COBOL?,A function for grouping variables,A way to store numbers,A data structure that stores ordered elements,A variable type for text,C
Objective-C,Intermediate,How do you define a class in Objective-C?,class ClassName:,class: ClassName,define ClassName(),function ClassName() {},A
Perl,Advanced,What is garbage collection in Perl?,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,None of the above,B
Bash,Advanced,What is garbage collection in Bash?,None of the above,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,C
Perl,Intermediate,Explain the concept of scope in Perl.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
Kotlin,Advanced,What is garbage collection in Kotlin?,A manual process for freeing memory,A method for checking memory leaks,None of the above,Automatic memory management system,D
Objective-C,Intermediate,How do you handle errors in Objective-C?,None of the above,Error-handling functions,Try-except blocks,If-else statements,C
JavaScript,Intermediate,What are common data structures in JavaScript?,None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
COBOL,Advanced,What are advanced use cases for COBOL?,Basic website scripting,None of the above,File system management,"High-performance computing, data analysis, AI",D
Objective-C,Beginner,What does the print function do in Objective-C?,Writes a value to a file,Displays a value on the screen,Returns a value,Stores data,B
Go,Intermediate,How do you define a class in Go?,function ClassName() {},class: ClassName,class ClassName:,define ClassName(),C
MATLAB,Intermediate,Explain functions in MATLAB.,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,Functions handle user input,B
Rust,Beginner,How do you write comments in Rust?,# comment,comment(),// comment,/* comment */,A
C,Beginner,How do you define a function in C?,function_name(){},function function_name(){},function_name() = {},def function_name():,D
Rust,Beginner,How do you define a function in Rust?,function function_name(){},function_name(){},function_name() = {},def function_name():,D
Elixir,Beginner,How do you define a function in Elixir?,function_name() = {},function_name(){},def function_name():,function function_name(){},C
TypeScript,Intermediate,Explain the concept of scope in TypeScript.,Scope is the time limit for variable usage,None of the above,Scope defines where variables can be accessed,Scope is how fast a program runs,C
JavaScript,Beginner,What is a list in JavaScript?,A function for grouping variables,A variable type for text,A way to store numbers,A data structure that stores ordered elements,D
C,Intermediate,What are common data structures in C?,"Lists, dictionaries, sets, tuples",None of the above,"Functions, arrays, objects","Loops, arrays, classes",A
Scala,Intermediate,What are common data structures in Scala?,"Lists, dictionaries, sets, tuples",None of the above,"Loops, arrays, classes","Functions, arrays, objects",A
C++,Advanced,Discuss performance optimization techniques in C++.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Avoid using any loops,Write all code in one function,B
Go,Advanced,What is garbage collection in Go?,Automatic memory management system,A method for checking memory leaks,None of the above,A manual process for freeing memory,A
Python,Intermediate,Explain the concept of scope in Python.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
COBOL,Intermediate,Explain the concept of scope in COBOL.,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,A
F#,Intermediate,How do you handle errors in F#?,Error-handling functions,None of the above,If-else statements,Try-except blocks,D
MATLAB,Beginner,What is an array in MATLAB?,A collection of elements of the same type,A set of variables,A list of random values,A collection of functions,A
PHP,Advanced,What are advanced use cases for PHP?,Basic website scripting,File system management,"High-performance computing, data analysis, AI",None of the above,C
Groovy,Beginner,What does the print function do in Groovy?,Returns a value,Writes a value to a file,Stores data,Displays a value on the screen,D
Scala,Advanced,What are advanced use cases for Scala?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
Rust,Beginner,What is an array in Rust?,A set of variables,A collection of elements of the same type,A collection of functions,A list of random values,B
COBOL,Advanced,How does memory management work in COBOL?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Java,Intermediate,How do you handle errors in Java?,Error-handling functions,Try-except blocks,None of the above,If-else statements,B
Swift,Advanced,What are advanced use cases for Swift?,None of the above,Basic website scripting,File system management,"High-performance computing, data analysis, AI",D
Go,Beginner,What does the print function do in Go?,Displays a value on the screen,Writes a value to a file,Returns a value,Stores data,A
JavaScript,Advanced,How does memory management work in JavaScript?,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,B
Perl,Advanced,What are advanced use cases for Perl?,File system management,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,C
Python,Advanced,What are advanced use cases for Python?,"High-performance computing, data analysis, AI",Basic website scripting,File system management,None of the above,A
HTML & CSS,Intermediate,What are common data structures in HTML & CSS?,None of the above,"Functions, arrays, objects","Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
Perl,Intermediate,Explain functions in Perl.,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,Functions are reusable blocks of code,D
Python,Advanced,Explain multithreading or asynchronous operations in Python.,Handles memory management,Allows multiple tasks to run concurrently,None of the above,Executes one task at a time,B
Objective-C,Beginner,What is the syntax for a loop in Objective-C?,for i = 0; i < 10; i++,for i in range(10):,loop i in 10,while i < 10:,B
Elixir,Beginner,How do you write comments in Elixir?,/* comment */,// comment,comment(),# comment,D
TypeScript,Beginner,What are variables in TypeScript?,Used for function definitions,Used for program flow,Used to store data,Used for user input,C
Julia,Intermediate,Explain functions in Julia.,Functions are used for file I/O,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,B
Ruby,Advanced,How does memory management work in Ruby?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
C++,Beginner,What is the syntax for a loop in C++?,for i in range(10):,loop i in 10,while i < 10:,for i = 0; i < 10; i++,A
PHP,Beginner,How do you define a function in PHP?,function_name() = {},function_name(){},function function_name(){},def function_name():,D
Go,Beginner,How do you define a function in Go?,function_name() = {},function_name(){},function function_name(){},def function_name():,D
Kotlin,Advanced,What are advanced use cases for Kotlin?,"High-performance computing, data analysis, AI",None of the above,File system management,Basic website scripting,A
C,Advanced,How does memory management work in C?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Groovy,Advanced,What are advanced use cases for Groovy?,None of the above,Basic website scripting,File system management,"High-performance computing, data analysis, AI",D
SQL,Advanced,Explain multithreading or asynchronous operations in SQL.,None of the above,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,C
Objective-C,Advanced,How does memory management work in Objective-C?,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,B
Swift,Beginner,What are variables in Swift?,Used for program flow,Used to store data,Used for user input,Used for function definitions,B
Objective-C,Beginner,What does the print function do in Objective-C?,Returns a value,Stores data,Displays a value on the screen,Writes a value to a file,C
Objective-C,Advanced,Explain multithreading or asynchronous operations in Objective-C.,None of the above,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,C
Lua,Advanced,Discuss performance optimization techniques in Lua.,Avoid using any loops,Write all code in one function,Use only built-in functions,"Optimize algorithms, reduce time complexity",D
MATLAB,Intermediate,What are common data structures in MATLAB?,"Functions, arrays, objects","Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples",D
Perl,Beginner,What is an array in Perl?,A list of random values,A set of variables,A collection of functions,A collection of elements of the same type,D
Lua,Intermediate,How do you define a class in Lua?,function ClassName() {},class: ClassName,class ClassName:,define ClassName(),C
SQL,Advanced,How does memory management work in SQL?,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,Memory management is handled by users,A
R,Beginner,How do you define a function in R?,function_name() = {},def function_name():,function function_name(){},function_name(){},B
React,Intermediate,Explain the concept of scope in React.,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,B
COBOL,Beginner,What is an array in COBOL?,A list of random values,A collection of functions,A collection of elements of the same type,A set of variables,C
TypeScript,Beginner,What does the print function do in TypeScript?,Stores data,Displays a value on the screen,Returns a value,Writes a value to a file,B
Haskell,Beginner,What is the syntax for a loop in Haskell?,for i in range(10):,while i < 10:,for i = 0; i < 10; i++,loop i in 10,A
Groovy,Beginner,What is the syntax for a basic Groovy program?,console.log('Hello World'),print('Hello World'),echo 'Hello World',System.out.println('Hello World'),B
Python,Advanced,What are advanced use cases for Python?,File system management,None of the above,Basic website scripting,"High-performance computing, data analysis, AI",D
Haskell,Intermediate,How do you handle errors in Haskell?,If-else statements,Try-except blocks,None of the above,Error-handling functions,B
React,Intermediate,Explain the concept of scope in React.,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,B
Julia,Intermediate,Explain functions in Julia.,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,Functions are reusable blocks of code,D
Objective-C,Beginner,What does the print function do in Objective-C?,Stores data,Returns a value,Writes a value to a file,Displays a value on the screen,D
F#,Intermediate,Explain functions in F#.,Functions handle user input,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,B
Kotlin,Intermediate,Explain the concept of scope in Kotlin.,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,None of the above,C
Lua,Advanced,Discuss performance optimization techniques in Lua.,Avoid using any loops,Write all code in one function,Use only built-in functions,"Optimize algorithms, reduce time complexity",D
C,Intermediate,How do you define a class in C?,define ClassName(),class ClassName:,class: ClassName,function ClassName() {},B
Swift,Beginner,What is the syntax for a loop in Swift?,for i in range(10):,for i = 0; i < 10; i++,loop i in 10,while i < 10:,A
Julia,Intermediate,Explain functions in Julia.,Functions are used for file I/O,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,B
Java,Advanced,What is garbage collection in Java?,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,None of the above,A
Scala,Beginner,How do you define a function in Scala?,function_name() = {},def function_name():,function_name(){},function function_name(){},B
HTML & CSS,Advanced,What are advanced use cases for HTML & CSS?,"High-performance computing, data analysis, AI",Basic website scripting,None of the above,File system management,A
Kotlin,Beginner,What is an array in Kotlin?,A list of random values,A collection of functions,A collection of elements of the same type,A set of variables,C
Bash,Advanced,How does memory management work in Bash?,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,Memory management is handled by users,C
Objective-C,Intermediate,Explain functions in Objective-C.,Functions are used for file I/O,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,C
Ruby,Intermediate,Explain functions in Ruby.,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,Functions are reusable blocks of code,D
